127.0.0.1_29001 -> 12:49:02.302018 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:02.327245 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:02.363012 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:02.388880 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:02.424558 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:02.449993 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:02.485762 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:02.511822 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:02.547058 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:02.573167 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:02.608265 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:02.634684 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:02.669833 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:02.696177 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:02.731672 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:02.758167 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:02.793497 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:02.819596 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:02.855258 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:02.881542 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:02.917045 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:02.943008 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:02.978745 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:03.005070 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:03.040130 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:03.066413 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:03.101706 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:03.128179 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:03.162655 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:03.190169 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:03.223640 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:03.251903 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:03.285216 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:03.313370 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:03.346514 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:03.374804 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:03.407437 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:03.436705 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:03.468983 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:03.497732 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:03.529902 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:03.559085 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:03.591456 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:03.620929 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:03.653285 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:03.682527 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:03.714644 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:03.744057 raft.go:442: TICKER representante de nodo 1
